matchNumber,teamNumber,tournament,value,cubesAcquired,cubesScored,startingPos,mobility,autoPyramid,autoGround,autoCubePickup,autoExchangeAttempt,autoExchangeScored,autoSwitchFarAttempt,autoSwitchFarScored,autoSwitchNearAttempt,autoSwitchNearScored,autoScaleFarAttempt,autoScaleFarScored,autoScaleNearAttempt,autoScaleNearScored,autoCubeAttempt,autoCubeScored,autoRobotAction,ownSwitchFarAttempt,ownSwitchFarScored,ownSwitchNearAttempt,ownSwichNearScored,scaleFarAttempt,scaleFarScored,scaleNearAttempt,scaleNearScored,oppSwitchFarAttempt,oppSwitchFarScored,oppSwitchNearAttempt,oppSwitchNearScored,teleExchangeAttempt,teleExchangeScored,teleSwitchAttempt,teleSwitchScored,teleScaleAttempt,teleScaleScored,teleOppSwitchAttempt,teleOppSwitchScored,telePickup,teleCubePickup,teleCubeAttempt,teleCubeScored,teleRobotAction,park,carried,hangAttempt,hangSuccess,noCarried,comments
7,4992,york,,13,14,,true,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"[""switch far 12.622""]",1,1,0,,0,0,0,0,3,3,0,0,9,9,1,1,0,0,3,3,"{""1"":11,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":2}",13,13,13,"[""zone 1"",""own switch far"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""opp switch far"",""human Load Far"",""opp switch far"",""human Load Far"",""opp switch far""]",true,false,false,false,0,"consistent vault bot, good drive train"
7,6461,york,,1,0,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":1,""humanLoadFar"":0}",1,0,0,"[""human Load Near""]",false,false,false,false,0,"terrible not, literally did nothing yo. the entire match it tried picking up a cube but it failed.-parth"
1,1334,york,,7,8,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,0,0,0,0,7,7,1,1,0,0,0,0,"{""1"":7,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",7,8,8,"[""own switch near"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",true,false,true,false,0,
1,2386,york,,7,4,,false,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,,6,4,0,0,0,0,0,0,0,0,0,0,6,4,0,0,"{""1"":0,""2"":0,""3"":3,""4"":4,""humanLoadNear"":0,""humanLoadFar"":0}",7,6,4,"[""zone 3"",""scale far"",""zone 3"",""scale far"",""zone 4"",""zone 4"",""scale far"",""zone 4"",""zone 4"",""scale far"",""zone 3""]",true,false,false,false,0,
1,6070,york,,4,4,,true,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"[""switch far 15.222""]",0,0,0,,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,"{""1"":4,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",4,4,3,"[""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1""]",true,false,false,false,0,foul for possessing 2 cubes -Jeffrey
1,6632,york,,7,6,,true,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"[""switch near NaN""]",0,0,0,,7,5,0,0,0,0,0,0,0,0,0,0,7,5,0,0,"{""1"":0,""2"":7,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",7,7,5,"[""zone 2"",""scale far"",""zone 2"",""scale far"",""zone 2"",""scale far"",""zone 2"",""zone 2"",""zone 2"",""scale far"",""zone 2"",""scale far""]",false,false,true,true,0,Jaden - Drive team wasn't very fast.
1,4932,york,,5,1,,false,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"[""pyramid 17.113""]",0,0,0,,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,"{""1"":0,""2"":0,""3"":0,""4"":1,""humanLoadNear"":3,""humanLoadFar"":0}",4,3,1,"[""scale near"",""human Load Near"",""human Load Near"",""human Load Near"",""zone 4""]",false,false,true,true,0,Thugin- 1 Tech Foul in Auto and 2 normal fouls in tele
1,4618,york,,8,7,,true,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"[""switch far 18.621""]",0,0,0,,0,0,5,4,0,0,0,0,2,2,0,0,5,4,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":8,""humanLoadFar"":0}",8,7,6,"[""human Load Near"",""scale near"",""human Load Near"",""scale near"",""human Load Near"",""scale near"",""human Load Near"",""human Load Near"",""scale near"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near""]",true,false,false,false,0,this robot is a decent scale not but it is very slow when it comes to operating and it broke its bumper while parking.-parth
8,2386,york,,6,4,,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,,0,0,3,2,2,2,0,0,0,0,0,0,3,2,2,2,"{""1"":0,""2"":0,""3"":4,""4"":0,""humanLoadNear"":2,""humanLoadFar"":0}",6,5,4,"[""zone 3"",""scale near"",""zone 3"",""zone 3"",""scale near"",""human Load Near"",""opp switch far"",""zone 3"",""opp switch far"",""human Load Near""]",true,false,false,false,0,
2,2935,york,,11,7,,true,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"[""switch near NaN""]",0,0,1,,0,0,0,0,0,0,3,2,3,3,1,1,0,0,3,2,"{""1"":5,""2"":0,""3"":1,""4"":0,""humanLoadNear"":5,""humanLoadFar"":0}",11,7,6,"[""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch near"",""zone 1"",""human Load Near"",""opp switch near"",""human Load Near"",""human Load Near"",""opp switch near"",""human Load Near"",""human Load Near"",""zone 3"",""zone 1"",""exchange""]",true,false,false,false,0,
2,4069,york,,10,10,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,0,,1,0,0,0,0,0,0,0,6,6,4,4,1,0,0,0,"{""1"":10,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",10,11,10,"[""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch far"",""zone 1"",""own switch far"",""zone 1"",""exchange"",""zone 1"",""own switch far"",""zone 1"",""own switch far"",""zone 1"",""exchange""]",false,false,true,true,0,
2,188,york,,9,7,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""ground pickup 12.676""]",0,0,2,,0,0,0,0,0,0,0,0,6,6,2,1,0,0,0,0,"{""1"":6,""2"":2,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",8,8,7,"[""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 2"",""zone 2"",""own switch near""]",false,false,false,false,0,elevator wasn't working - Rudy
2,3560,york,,1,1,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"{""1"":0,""2"":1,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",1,1,1,"[""zone 2"",""own switch near""]",false,false,false,false,0,"claw is not accurate, weak and they need more practice -Awais"
2,3571,york,,2,1,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,2,1,1,0,0,0,1,0,0,0,3,1,"{""1"":0,""2"":0,""3"":0,""4"":1,""humanLoadNear"":1,""humanLoadFar"":0}",2,4,1,"[""zone 4"",""opp switch far"",""human Load Near""]",false,false,false,false,0,Thugin- zoned out after half the game was over
2,3161,york,,7,5,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,5,4,0,0,0,0,0,0,0,0,1,1,5,4,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":7,""humanLoadFar"":0}",7,6,5,"[""human Load Near"",""own switch far"",""human Load Near"",""scale far"",""human Load Near"",""scale far"",""human Load Near"",""human Load Near"",""scale far"",""human Load Near"",""scale far"",""human Load Near""]",true,false,false,false,0,this bot moves very swiftly but sometimes it can't control itself and it drifts off. the accuracy form scoring on the scale isnok nothing special other than swift moving-parth
8,6878,york,,4,2,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":4,""humanLoadFar"":0}",4,3,2,"[""human Load Near"",""human Load Near"",""opp switch near"",""human Load Near"",""human Load Near"",""opp switch near""]",true,false,false,false,0,
8,5409,york,,7,8,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,,0,0,0,0,0,0,0,0,6,6,2,2,0,0,0,0,"{""1"":7,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",7,8,8,"[""own switch far"",""zone 1"",""own switch far"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",false,false,true,true,0,Scissor lift is slow -Jeffrey
8,2935,york,,11,12,,true,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"[""switch near 3.631""]",0,0,3,,0,0,0,0,0,0,0,0,8,8,3,3,0,0,0,0,"{""1"":10,""2"":1,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",11,11,11,"[""zone 1"",""own switch near"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch near"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch near"",""zone 2"",""exchange"",""zone 1"",""exchange""]",true,false,false,false,0,very good with exchange and switches - Rudy
3,4976,york,,10,6,,true,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,"[""scale near 7.227"",""ground pickup 11.632""]",0,0,0,,0,0,8,5,0,0,0,0,0,0,0,0,8,5,0,0,"{""1"":0,""2"":1,""3"":4,""4"":3,""humanLoadNear"":1,""humanLoadFar"":0}",9,8,5,"[""zone 2"",""zone 3"",""scale near"",""zone 3"",""scale near"",""zone 3"",""scale near"",""zone 4"",""scale near"",""human Load Near"",""zone 4"",""zone 4"",""zone 3"",""scale near""]",false,false,true,true,0,Jaden - Drive team struggled to pick up cubes
3,6342,york,,0,0,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",0,0,0,,false,false,false,false,0,was stuck the whole match
3,4039,york,,7,7,,true,1,0,1,0,0,0,0,2,2,0,0,0,0,2,2,"[""switch near 5.889"",""pyramid 9.54"",""switch near 14.336""]",0,0,0,,0,0,0,0,0,0,6,5,0,0,0,0,0,0,6,5,"{""1"":0,""2"":0,""3"":3,""4"":0,""humanLoadNear"":3,""humanLoadFar"":0}",6,6,5,"[""zone 3"",""opp switch near"",""zone 3"",""opp switch near"",""zone 3"",""opp switch near"",""human Load Near"",""human Load Near"",""opp switch near"",""human Load Near"",""opp switch near""]",false,false,false,false,0,Carried to hang by 2200 -Jeffrey
3,4308,york,,0,0,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",0,0,0,,false,false,false,false,0,"lost com,received a foul in auto- Awais "
3,5409,york,,4,4,,true,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"[""exchange NaN""]",0,0,1,,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,"{""1"":0,""2"":0,""3"":1,""4"":0,""humanLoadNear"":3,""humanLoadFar"":0}",4,3,3,"[""zone 3"",""own switch near"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near""]",false,false,false,false,0,Thugin- Scored 4 exchange but at a very slow pace
3,2200,york,,8,5,,true,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,"[""scale far 7.94""]",0,0,0,,6,3,0,0,0,0,0,0,1,1,0,0,6,3,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":8,""humanLoadFar"":0}",8,7,4,"[""human Load Near"",""scale far"",""human Load Near"",""human Load Near"",""scale far"",""human Load Near"",""human Load Near"",""scale far"",""human Load Near"",""human Load Near"",""exchange"",""human Load Near""]",false,true,true,false,1,amazing bot. it stacks on scale pretty fast and accuracy is decent. it is a good teammate suggestion. it carried a switch not for hang.
4,1241,york,,14,12,,true,1,0,1,0,0,1,1,0,0,1,1,0,0,2,2,"[""switch far 3.262"",""pyramid 10.824"",""scale far 13.212""]",3,3,0,,5,3,0,0,0,0,0,0,4,4,3,3,5,3,0,0,"{""1"":4,""2"":6,""3"":3,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",13,12,10,"[""zone 1"",""zone 2"",""scale far"",""zone 2"",""zone 2"",""scale far"",""zone 2"",""own switch far"",""zone 2"",""own switch far"",""zone 2"",""own switch far"",""zone 3"",""scale far"",""zone 3"",""zone 3"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",true,false,true,false,0,
4,6130,york,,7,5,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,,0,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,"{""1"":7,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",7,7,5,"[""exchange"",""zone 1"",""zone 1"",""exchange"",""zone 1"",""zone 1"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",false,false,false,false,0,Issues holding onto cubes -Jeffrey
4,6323,york,,7,8,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,0,,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,"{""1"":6,""2"":1,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",7,8,8,"[""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch far"",""zone 1"",""exchange"",""zone 1"",""own switch far"",""zone 1"",""own switch far"",""zone 2"",""own switch far""]",false,false,true,true,0,drivers need more practice-Awais
4,4902,york,,5,2,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,"{""1"":0,""2"":4,""3"":0,""4"":1,""humanLoadNear"":0,""humanLoadFar"":0}",5,2,2,"[""zone 2"",""own switch near"",""zone 2"",""zone 2"",""zone 2"",""opp switch near"",""zone 4""]",false,false,false,false,0,"Angel- had trouble moving, slow elevator, had trouble picking cubes up"
4,5776,york,,3,0,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":3}",3,3,0,"[""human Load Far"",""human Load Far"",""human Load Far""]",false,false,false,false,0,"didn't do much, the botmoved very slowly. wasn't able to pick up any cubes from any zone. could only load from the human player- Rudy"
4,6135,york,,6,5,,true,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"[""switch near 13.524""]",0,0,0,,0,0,0,0,0,0,4,3,1,1,0,0,0,0,4,3,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":6,""humanLoadFar"":0}",6,5,4,"[""human Load Near"",""opp switch near"",""human Load Near"",""opp switch near"",""human Load Near"",""opp switch near"",""human Load Near"",""human Load Near"",""exchange"",""human Load Near""]",true,false,false,false,0,"bad alliance choice... wastes so much time trying to pick up cubes, but accuracy is decent. pretty slow not could be used as defense.-parth"
8,2200,york,,2,1,,false,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,"[""scale far 10.275"",""ground pickup 27.95""]",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"":0,""2"":1,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",1,0,0,"[""zone 2""]",false,false,false,false,0,good auto but later maybe loses connection or a part of the bot stops working
5,3683,york,,11,10,,true,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,"[""ground pickup 11.938""]",1,0,0,,3,3,0,0,7,7,0,0,0,0,1,0,3,3,7,7,"{""1"":0,""2"":1,""3"":7,""4"":0,""humanLoadNear"":0,""humanLoadFar"":2}",10,11,10,"[""zone 2"",""scale far"",""zone 3"",""scale far"",""zone 3"",""opp switch far"",""zone 3"",""opp switch far"",""zone 3"",""opp switch far"",""zone 3"",""opp switch far"",""human Load Far"",""opp switch far"",""zone 3"",""scale far"",""zone 3"",""opp switch far"",""human Load Far"",""opp switch far""]",false,false,true,true,0,
5,5699,york,,1,1,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"{""1"":0,""2"":1,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",1,1,1,"[""own switch near"",""zone 2""]",true,false,false,false,0,Very cautious when attempting to defend -Jeffrey
5,1374,york,,7,7,,true,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"[""switch far 11.428""]",0,0,0,,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,"{""1"":7,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",7,6,6,"[""zone 1"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",true,false,false,false,0,"Jaden - Decently fast exchange cycles, some intake issues."
5,6537,york,,11,10,,true,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,"[""ground pickup 9.952""]",0,0,0,,3,3,0,0,7,7,0,0,0,0,0,0,3,3,7,7,"{""1"":0,""2"":1,""3"":7,""4"":0,""humanLoadNear"":0,""humanLoadFar"":2}",10,10,10,"[""zone 2"",""scale far"",""zone 3"",""scale far"",""zone 3"",""opp switch far"",""zone 3"",""opp switch far"",""zone 3"",""opp switch far"",""zone 3"",""opp switch far"",""human Load Far"",""opp switch far"",""zone 3"",""scale far"",""zone 3"",""opp switch far"",""human Load Far"",""opp switch far""]",false,false,true,true,0,consistent scale\ switch bot can take opponents switch on their side- Awais
5,6339,york,,2,1,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,"{""1"":1,""2"":1,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",2,2,1,"[""zone 2"",""own switch near"",""zone 1""]",false,false,false,false,0,"Angel-stuck for first quarter of the game, had trouble picking cubes up"
5,6878,york,,10,10,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,,0,0,0,0,0,0,0,0,7,7,3,3,0,0,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":10,""humanLoadFar"":0}",10,10,10,"[""own switch near"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near"",""own switch near"",""human Load Near"",""exchange"",""human Load Near"",""own switch near"",""human Load Near"",""exchange"",""human Load Near""]",true,false,false,false,0,amazing switch  and exchange not. great accuracy. they put cubes in exchange and take it out to put on switch.
8,4618,york,,10,10,,true,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"[""switch far 7.936""]",2,2,0,,0,0,4,4,0,0,0,0,3,3,2,2,4,4,0,0,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":10,""humanLoadFar"":0}",10,9,9,"[""human Load Near"",""scale near"",""human Load Near"",""scale near"",""human Load Near"",""scale near"",""human Load Near"",""scale near"",""human Load Near"",""own switch far"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near"",""exchange"",""human Load Near"",""own switch far"",""human Load Near""]",false,false,false,false,0,improved a lot and perfect accuracy great choice now. scale and switch and exchange is great
9,4308,york,,8,9,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,,0,0,0,0,0,0,0,0,7,7,2,2,0,0,0,0,"{""1"":8,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",8,9,9,"[""own switch far"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch far"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",false,true,true,false,0,
